jabar,jateng
8397,4600
8418,4600
8394,4633
8598,4600
8660,4607
9394,4600
9469,4606
9333,4600
10418,4600
10160,4600
9850,4600
10203,4609
9402,4789
9604,4800
9457,4984
9552,5300
9598,5300
9914,5300
9254,5300
9505,5300
9670,5300
9835,5300
9789,5300
10107,5300
10617,5300
11147,5300
10692,5637
10322,5974
10329,6000
10472,5750
10789,5500
9462,5558
9770,6000
9784,6000
10203,6000
9857,6000
11929,6000
10662,6000
10756,6000
10417,5130
10182,5000
10440,5000
10525,5000
10150,5140
